timestamps,TP9,AF7,AF8,TP10
1667247690.849,-350.586,-895.020,-567.383,-839.355
1667247690.853,-852.051,538.086,-471.191,740.723
1667247690.857,543.945,726.562,-472.656,857.910
1667247690.861,-1000.000,-719.238,-598.633,-669.922
1667247690.865,-819.336,-1000.000,-576.172,-1000.000
1667247690.869,730.957,55.664,-437.988,51.270
1667247690.873,-935.547,-984.375,-429.688,-810.547
1667247690.876,-355.957,-237.793,-531.250,13.672
1667247690.880,-1000.000,-1000.000,-565.430,-1000.000
1667247690.884,45.410,-289.551,-506.836,-241.699
1667247690.888,-780.273,-900.879,-295.410,-821.289
1667247690.892,158.691,123.047,-354.980,238.770
1667247690.893,-1000.000,-1000.000,-622.070,-1000.000
1667247690.897,-261.719,-632.324,-525.391,-469.238
1667247690.901,-811.035,874.512,-453.125,-901.855
1667247690.905,255.371,458.984,-506.348,524.414
1667247690.909,-1000.000,-1000.000,-570.801,-1000.000
1667247690.913,-459.961,-989.258,-478.027,-803.711
1667247690.917,-911.133,397.461,-380.859,768.555
1667247690.920,656.250,796.387,-493.652,924.805
1667247690.924,-930.176,-618.652,-575.195,-533.203
1667247690.928,-959.961,-1000.000,-551.758,-1000.000
1667247690.932,532.227,-43.945,-479.980,-99.609
1667247690.936,-846.191,-931.641,-494.141,-822.266
1667247690.953,-188.477,-111.328,-571.777,113.281
1667247690.957,-1000.000,-1000.000,-577.637,-1000.000
1667247690.961,-69.824,-359.375,-519.043,-260.742
1667247690.965,-787.598,-908.691,-493.164,-820.801
1667247690.969,210.449,211.914,-510.742,260.254
1667247690.973,-1000.000,-1000.000,-527.832,-1000.000
1667247690.977,-270.508,-719.238,-495.117,-537.598
1667247690.980,-811.035,780.762,-440.430,-943.359
1667247690.984,331.543,533.691,-482.910,574.219
1667247690.988,-1000.000,-951.660,-504.395,-935.547
1667247690.992,-567.871,-1000.000,-489.746,-1000.000
1667247690.996,-987.305,294.434,-508.789,238.770
1667247690.998,791.504,871.094,-478.516,-857.910
1667247691.002,-759.766,-501.465,-542.969,-208.984
1667247691.006,-1000.000,-1000.000,-570.801,-1000.000
1667247691.010,345.703,-122.559,-507.812,-158.691
1667247691.014,-809.570,-904.785,-463.379,-813.477
1667247691.018,-70.801,-23.926,-487.305,205.078
1667247691.022,-1000.000,-1000.000,-562.988,-1000.000
1667247691.025,-187.988,-452.637,-520.996,-317.871
1667247691.029,-805.176,-964.355,-370.117,-833.496
1667247691.033,224.121,271.484,-406.738,270.996
1667247691.037,-1000.000,-1000.000,-604.980,-1000.000
1667247691.041,-278.320,-816.895,-545.898,-739.746
1667247691.043,-817.871,650.391,-440.430,858.887
1667247691.047,428.223,621.094,-484.863,722.656
1667247691.051,-1000.000,-856.934,-595.215,-842.285
1667247691.055,-673.340,-1000.000,-571.289,-1000.000
1667247691.059,910.156,176.758,-470.215,192.383
1667247691.063,931.152,956.055,-459.473,-831.055
1667247691.067,-558.105,-354.980,-515.137,-120.117
1667247691.070,-1000.000,-1000.000,-555.176,-1000.000
1667247691.074,177.734,-216.309,-392.578,-165.527
1667247691.078,-787.109,-896.973,-334.473,-812.500
1667247691.082,39.062,54.199,-539.062,216.797
