timestamps,TP9,AF7,AF8,TP10,marker
1664560764.748,76.172,-8.301,-22.949,49.316,0
1664560764.752,-44.922,-10.254,-21.484,-20.020,0
1664560764.756,-158.203,-13.672,-23.438,-89.355,0
1664560764.760,-80.078,-14.648,-27.344,-44.434,0
1664560764.764,56.641,-12.207,-25.391,35.645,0
1664560764.768,-12.695,-10.254,-17.578,-1.465,0
1664560764.772,-158.691,-13.672,-21.973,-89.355,0
1664560764.775,-138.184,-22.461,-31.738,-81.543,0
1664560764.779,17.090,-23.926,-29.785,11.230,0
1664560764.783,3.418,-27.832,-31.250,2.930,0
1664560764.787,-144.531,-28.809,-39.062,-92.773,0
1664560764.791,-157.227,-20.508,-34.180,-98.145,0
1664560764.795,-19.531,-29.297,-37.598,-16.113,0
1664560764.799,33.203,-33.203,-41.504,11.719,0
1664560764.803,-98.633,-28.320,-32.715,-66.406,0
1664560764.807,-169.922,-27.344,-27.832,-102.051,0
1664560764.811,-52.734,-31.738,-31.250,-39.062,0
1664560764.815,59.082,-31.250,-29.785,22.949,0
1664560764.819,-46.387,-34.668,-32.227,-40.039,0
1664560764.822,-144.531,-31.250,-22.949,-98.145,0
1664560764.826,-71.289,-29.297,-20.508,-45.410,0
1664560764.830,54.688,-44.434,-43.457,11.719,0
1664560764.834,12.695,-40.527,-41.504,-19.531,0
1664560764.838,-113.770,-32.227,-34.668,-85.938,0
1664560764.838,-99.121,-28.809,-37.109,-70.801,0
1664560764.842,43.457,-32.715,-39.062,7.812,0
1664560764.846,63.477,-33.691,-37.598,15.137,0
1664560764.850,-78.613,-25.391,-28.809,-53.711,0
1664560764.854,-104.492,-28.320,-29.785,-63.965,0
1664560764.858,45.898,-32.715,-37.109,18.555,0
1664560764.862,90.820,-27.344,-37.598,35.156,0
1664560764.865,-23.438,-16.602,-25.391,-24.902,0
1664560764.869,-111.816,-21.484,-27.832,-72.266,0
1664560764.873,-21.484,-32.227,-38.086,-35.645,0
1664560764.877,109.375,-20.996,-27.832,42.480,0
1664560764.881,21.973,-13.184,-26.855,-4.395,0
1664560764.883,-100.098,-17.578,-29.297,-74.219,0
1664560764.887,-45.410,-20.020,-28.809,-38.574,0
1664560764.891,104.492,-19.531,-21.973,47.363,0
1664560764.895,74.707,-16.602,-19.043,24.414,0
1664560764.899,-80.566,-21.973,-27.832,-62.500,0
1664560764.903,-89.355,-22.461,-24.414,-60.059,0
1664560764.907,64.941,-20.508,-23.438,26.367,0
1664560764.910,92.285,-23.438,-22.949,43.457,0
1664560764.914,-58.105,-30.762,-24.414,-44.434,0
1664560764.918,-114.746,-34.180,-29.785,-77.148,0
1664560764.922,26.367,-28.320,-23.926,7.812,0
1664560764.926,116.699,-23.438,-20.508,61.035,0
1664560764.930,-18.555,-33.203,-33.691,-24.414,0
1664560764.934,-121.094,-33.691,-31.738,-78.613,0
1664560764.938,-28.320,-33.203,-27.344,-21.973,0
1664560764.942,95.703,-41.992,-35.645,31.738,0
1664560764.946,13.184,-40.527,-34.668,-20.508,0
1664560764.950,-109.863,-34.180,-26.367,-83.496,0
1664560764.954,-66.406,-32.715,-21.973,-49.805,0
1664560764.957,67.871,-41.504,-27.832,32.715,0
1664560764.961,44.434,-50.293,-41.016,18.555,0
1664560764.965,-93.262,-42.480,-40.527,-66.895,0
1664560764.969,-121.582,-38.574,-37.598,-86.914,0
1664560764.973,14.160,-41.504,-38.574,-4.395,0
1664560764.973,59.082,-39.551,-38.086,16.602,0
1664560764.977,-71.289,-37.598,-30.273,-56.152,0
1664560764.981,-136.230,-41.992,-28.320,-86.914,0
1664560764.985,-23.438,-47.852,-35.645,-20.996,0
1664560764.989,82.031,-47.363,-38.086,34.668,0
1664560764.993,-15.625,-37.109,-32.227,-15.625,0
1664560764.997,-118.164,-31.250,-30.762,-64.941,0
1664560765.000,-53.711,-38.086,-37.109,-33.203,0
1664560765.004,83.008,-35.156,-35.156,39.062,0
1664560765.008,32.227,-29.785,-31.738,15.625,0
1664560765.012,-98.145,-27.832,-28.809,-53.223,0
1664560765.016,-79.590,-34.180,-33.691,-47.363,0
1664560765.018,67.871,-31.738,-36.621,34.668,0
1664560765.022,74.219,-27.832,-37.109,39.062,0
1664560765.026,-69.336,-29.785,-38.574,-53.223,0
1664560765.030,-108.887,-27.832,-41.504,-81.055,0
1664560765.034,36.133,-25.879,-41.504,5.859,0
1664560765.038,103.516,-23.926,-39.551,45.410,0
1664560765.042,-33.203,-30.273,-46.387,-36.133,0
1664560765.045,-122.559,-35.645,-54.199,-88.867,0
1664560765.049,-20.508,-36.133,-55.664,-31.250,0
1664560765.053,104.492,-29.785,-41.016,48.828,0
1664560765.057,8.301,-28.809,-39.062,-6.836,0
1664560765.061,-114.746,-37.109,-55.664,-86.426,0
1664560765.081,-45.410,-31.738,-48.340,-35.645,0
1664560765.085,94.238,-29.297,-42.480,47.852,0
1664560765.089,43.457,-35.156,-52.246,12.695,0
1664560765.093,-93.750,-33.691,-53.223,-63.965,0
1664560765.097,-82.031,-26.367,-47.363,-52.734,0
1664560765.101,63.965,-25.879,-51.270,27.832,0
1664560765.105,67.871,-35.156,-58.594,20.020,0
1664560765.108,-75.684,-37.598,-59.570,-66.895,0
1664560765.112,-107.910,-26.367,-47.363,-78.125,0
1664560765.116,28.320,-24.414,-46.387,2.441,0
1664560765.120,88.379,-35.645,-55.176,22.461,0
1664560765.124,-31.250,-30.762,-49.316,-50.781,0
1664560765.124,-108.887,-26.367,-44.434,-84.961,0
1664560765.128,-20.508,-28.809,-49.805,-27.344,0
1664560765.132,95.703,-23.438,-51.758,41.016,0
1664560765.136,11.719,-22.949,-47.852,-3.906,0
1664560765.140,-109.375,-22.461,-48.340,-75.684,0
1664560765.144,-60.059,-25.391,-46.387,-46.387,0
1664560765.148,74.707,-32.227,-49.316,24.902,0
1664560765.151,43.457,-27.344,-46.387,3.418,0
1664560765.155,-78.125,-17.090,-27.344,-53.711,0
1664560765.159,-93.750,-22.949,-34.180,-63.477,0
1664560765.163,27.832,-34.180,-54.199,-8.301,0
1664560765.167,78.613,-19.043,-38.086,22.461,0
1664560765.168,-51.758,-14.160,-35.645,-49.805,0
1664560765.172,-122.559,-23.926,-48.340,-86.426,0
1664560765.176,2.441,-20.508,-38.574,-10.254,0
1664560765.180,98.145,-19.531,-34.668,43.945,0
1664560765.184,-19.043,-26.367,-38.574,-27.344,0
1664560765.188,-118.652,-26.367,-35.645,-79.102,0
1664560765.192,-46.387,-31.738,-41.992,-35.645,0
1664560765.195,82.520,-27.344,-39.062,34.180,0
1664560765.199,24.902,-20.020,-26.855,11.719,0
1664560765.203,-106.445,-27.344,-34.180,-71.777,0
1664560765.207,-66.895,-24.414,-35.645,-60.059,0
1664560765.211,80.078,-14.160,-29.785,33.203,0
1664560765.213,60.547,-14.160,-29.297,23.438,0
1664560765.217,-81.543,-21.973,-35.156,-71.289,0
1664560765.221,-104.492,-22.949,-35.156,-79.590,0
1664560765.225,36.133,-25.391,-35.156,7.812,0
1664560765.229,85.449,-30.273,-40.039,31.250,0
1664560765.233,-43.457,-29.785,-37.598,-46.875,0
1664560765.237,-115.723,-29.785,-33.203,-89.355,0
1664560765.240,-3.906,-28.320,-25.879,-12.207,0
1664560765.244,87.891,-32.227,-32.715,41.992,0
1664560765.248,-28.320,-36.133,-46.387,-37.109,0
1664560765.252,-122.559,-23.926,-35.645,-87.402,0
1664560765.256,-54.199,-20.020,-37.109,-43.945,0
1664560765.259,71.777,-26.367,-49.805,20.508,0
1664560765.263,18.555,-28.809,-43.457,-13.672,0
1664560765.267,-109.863,-26.855,-34.668,-84.961,0
1664560765.271,-92.773,-29.297,-40.039,-75.684,0
1664560765.275,48.828,-32.227,-43.457,3.906,0
1664560765.279,71.289,-21.973,-35.645,20.996,0
1664560765.283,-62.988,-17.578,-29.785,-53.223,0
1664560765.286,-122.559,-22.949,-23.926,-80.566,0
1664560765.290,-14.160,-38.086,-41.992,-29.297,0
1664560765.294,53.223,-38.574,-52.734,0.977,0
1664560765.298,-61.523,-28.320,-43.457,-55.176,0
1664560765.302,-145.508,-34.180,-47.363,-96.680,0
1664560765.304,-51.758,-36.621,-53.223,-45.898,0
1664560765.308,62.988,-33.203,-47.363,12.695,0
1664560765.312,-18.555,-32.715,-34.180,-27.344,0
1664560765.316,-131.348,-32.227,-35.645,-90.332,0
1664560765.320,-74.219,-31.738,-40.527,-64.453,0
1664560765.324,64.453,-31.738,-35.156,13.672,0
1664560765.328,38.086,-24.414,-21.484,11.230,0
1664560765.331,-106.934,-31.250,-28.320,-70.312,0
1664560765.335,-116.211,-39.062,-43.457,-82.520,0
1664560765.339,39.551,-31.250,-36.621,5.859,0
1664560765.343,47.852,-33.203,-38.086,5.371,0
1664560765.347,-88.867,-32.715,-42.480,-76.172,0
1664560765.349,-134.277,-28.320,-39.062,-100.586,0
1664560765.353,-2.441,-19.043,-26.367,-18.555,0
1664560765.357,74.707,-22.949,-28.809,27.344,0
1664560765.361,-49.805,-31.738,-38.086,-46.875,0
1664560765.365,-135.254,-24.902,-31.738,-93.750,0
1664560765.369,-33.691,-20.020,-26.855,-25.879,0
1664560765.373,88.379,-25.879,-26.367,46.387,0
1664560765.376,-0.977,-33.203,-35.156,-17.578,0
