timestamps,TP9,AF7,AF8,TP10
1664549462.710,-26.367,-24.902,-28.320,-5.859,0
1664549462.714,-58.105,-32.227,-11.230,-43.457,0
1664549462.718,-66.406,-36.133,-3.906,-39.551,0
1664549462.722,-52.246,-31.250,-19.043,-7.324,0
1664549462.726,-39.551,-21.484,-10.742,-8.301,0
1664549462.688,-52.246,-24.902,-16.602,-26.855,0
1664549462.692,-66.895,-28.809,-24.414,-37.109,0
1664549462.696,-50.293,-25.879,-23.926,-31.738,0
1664549462.700,-24.902,-22.461,-20.996,-19.043,0
1664549462.704,-23.926,-19.531,-39.551,-25.391,0
1664549462.708,-45.898,-19.531,-57.617,-31.250,0
1664549462.712,-50.781,-21.484,-28.809,-26.855,0
1664549462.715,-40.527,-28.320,-19.043,-34.668,0
1664549462.719,-47.363,-33.691,-21.973,-44.922,0
1664549462.723,-67.871,-32.227,-8.789,-56.641,0
1664549462.727,-71.777,-31.738,-11.230,-60.059,0
1664549462.731,-50.293,-33.203,-20.508,-33.203,0
1664549462.696,-34.668,-28.809,-33.203,-16.602,0
1664549462.700,-46.875,-25.391,-47.852,-24.902,0
1664549462.704,-61.523,-25.391,-49.316,-25.879,0
1664549462.708,-54.688,-29.785,-28.809,-25.391,0
1664549462.712,-46.875,-23.926,0.000,-22.949,0
1664549462.716,-54.688,-21.484,0.488,-26.855,0
1664549462.720,-63.477,-26.367,-4.883,-43.457,0
1664549462.723,-45.410,-20.996,-6.836,-31.738,0
1664549462.727,-27.344,-24.414,-20.996,3.418,0
1664549462.731,-40.527,-24.902,-24.414,11.230,0
1664549462.735,-51.758,-16.602,-24.414,-14.648,0
1664549462.739,-37.598,-23.438,-24.902,-13.672,0
1664549462.706,-23.926,-25.879,-12.207,10.742,0
1664549462.710,-37.598,-22.461,-12.695,0.488,0
1664549462.714,-62.988,-28.809,-10.742,-33.203,0
1664549462.718,-58.105,-27.344,-10.742,-33.691,0
1664549462.722,-41.504,-30.273,-16.602,-11.230,0
1664549462.726,-41.992,-33.203,-25.879,-12.695,0
1664549462.730,-54.199,-26.855,-41.504,-24.902,0
1664549462.733,-59.082,-22.461,-30.762,-29.297,0
1664549462.737,-31.738,-22.949,-28.809,-0.488,0
1664549462.741,-25.391,-26.855,-26.855,12.207,0
1664549462.745,-46.387,-28.809,-11.719,-28.320,0
1664549462.749,-53.223,-26.367,-20.508,-42.480,0
1664549462.729,-47.363,-29.785,-14.648,-34.180,0
1664549462.733,-35.645,-35.645,-10.742,-34.668,0
1664549462.737,-42.969,-30.762,-14.160,-41.992,0
1664549462.741,-55.176,-23.438,-14.160,-57.129,0
1664549462.745,-46.387,-27.832,-27.344,-54.199,0
1664549462.749,-34.668,-29.785,-37.109,-21.973,0
1664549462.753,-33.203,-25.879,-23.926,-19.531,0
1664549462.756,-46.387,-23.926,-21.484,-37.598,0
1664549462.760,-53.711,-25.391,-25.879,-18.555,0
1664549462.764,-33.203,-24.414,-17.090,-10.742,0
1664549462.768,-14.648,-20.020,-20.996,-9.277,0
1664549462.772,-40.527,-26.367,-30.762,-21.484,0
1664549462.731,-56.641,-32.715,-27.344,-37.109,0
1664549462.735,-37.598,-25.879,-32.715,-33.691,0
1664549462.739,-21.973,-22.461,-41.992,-13.184,0
1664549462.743,-37.598,-25.879,-27.344,-18.066,0
1664549462.747,-51.270,-26.367,-11.719,-41.016,0
1664549462.751,-43.457,-27.832,-15.625,-36.133,0
1664549462.755,-32.227,-27.832,-27.344,-12.695,0
1664549462.758,-39.062,-27.344,-40.527,-3.906,0
1664549462.762,-60.059,-27.832,-30.273,-27.832,0
1664549462.766,-58.105,-21.973,-30.762,-32.715,0
1664549462.770,-34.180,-25.391,-50.781,-3.418,0
1664549462.774,-30.273,-33.203,-41.016,-5.371,0
1664549462.735,-54.199,-32.715,-33.203,-39.062,0
1664549462.739,-54.688,-29.785,-38.574,-50.781,0
1664549462.743,-30.762,-25.879,-36.133,-23.926,0
1664549462.747,-26.367,-25.879,-24.902,-9.277,0
1664549462.751,-46.875,-28.809,-23.438,-39.551,0
1664549462.755,-67.383,-27.832,-26.367,-61.035,0
1664549462.759,-49.805,-23.438,-31.250,-35.645,0
1664549462.762,-26.855,-23.438,-47.363,-3.418,0
1664549462.766,-41.016,-27.832,-32.227,-24.902,0
1664549462.770,-55.664,-29.785,-14.160,-51.270,0
1664549462.774,-49.316,-22.949,-28.809,-36.621,0
1664549462.778,-26.855,-20.508,-30.273,-8.789,0
1664549462.736,-23.438,-20.508,-29.297,-14.648,0
1664549462.740,-46.387,-18.066,-20.996,-46.387,0
1664549462.744,-55.176,-27.832,-19.043,-43.945,0
1664549462.748,-37.109,-32.715,-34.180,-10.254,0
1664549462.752,-31.250,-25.391,-32.715,-8.789,0
1664549462.756,-51.758,-24.902,-29.297,-36.133,0
1664549462.760,-58.105,-30.762,-30.273,-23.438,0
1664549462.763,-33.691,-28.320,-25.391,-1.953,0
1664549462.767,-33.691,-31.250,-17.090,-33.691,0
1664549462.771,-60.547,-31.738,-14.160,-58.594,0
1664549462.775,-61.523,-23.926,-23.926,-50.781,0
1664549462.779,-41.992,-20.508,-22.949,-28.809,0
1664549462.737,-26.367,-17.090,-20.508,-18.066,0
1664549462.741,-35.645,-15.137,-30.762,-25.879,0
1664549462.745,-58.105,-21.973,-23.438,-46.387,0
1664549462.749,-53.711,-24.414,-15.625,-43.945,0
1664549462.753,-31.738,-17.090,-20.020,-13.672,0
1664549462.757,-37.598,-20.996,-36.621,-4.395,0
1664549462.761,-66.406,-28.320,-26.855,-21.973,0
1664549462.764,-56.152,-29.297,-6.836,-28.809,0
1664549462.768,-22.461,-24.902,-15.625,-6.836,0
1664549462.772,-15.625,-14.648,-31.250,9.766,0
1664549462.776,-48.340,-20.508,-25.879,-27.832,0
1664549462.780,-67.871,-31.250,-17.090,-50.781,0
