timestamps,TP9,AF7,AF8,TP10
1664548748.263,-55.176,-28.809,348.633,-67.383,0
1664548748.267,-64.941,-31.738,293.945,-73.730,0
1664548748.271,-62.500,-31.250,266.602,-73.730,0
1664548748.275,-51.758,-22.461,250.977,-75.684,0
1664548748.278,-41.016,-22.461,84.473,-62.500,0
1664548748.282,-47.852,-21.484,-204.590,-41.992,0
1664548748.286,-60.547,-7.812,-163.574,-58.105,0
1664548748.290,-57.129,-7.812,-159.180,-66.895,0
1664548748.294,-59.570,-17.090,-335.449,-54.688,0
1664548748.295,-69.824,-20.020,-347.656,-54.199,0
1664548748.299,-72.266,-14.160,-302.734,-62.500,0
1664548748.303,-60.059,-18.555,-353.516,-57.617,0
1664548748.307,-46.387,-27.344,-411.133,-41.504,0
1664548748.311,-45.410,-32.227,-449.219,-36.133,0
1664548748.315,-56.152,-37.598,-453.125,-43.457,0
1664548748.319,-58.594,-20.996,-426.270,-54.199,0
1664548748.322,-45.898,-16.602,-530.273,-37.598,0
1664548748.326,-57.617,-23.438,-532.227,-40.039,0
1664548748.330,-75.195,-12.695,-439.453,-73.730,0
1664548748.334,-58.105,-15.137,-500.977,-66.406,0
1664548748.338,-44.434,-16.602,-530.273,-57.129,0
1664548748.340,-50.293,-9.766,-549.805,-62.988,0
1664548748.344,-61.523,-0.977,-577.148,-67.871,0
1664548748.348,-62.012,-0.977,-604.492,-62.500,0
1664548748.352,-46.875,-8.789,-597.168,-52.246,0
1664548748.356,-44.434,-17.578,-599.121,-60.059,0
1664548748.360,-49.805,-26.367,-623.047,-66.406,0
1664548748.364,-56.152,-28.320,-604.492,-58.105,0
1664548748.367,-43.945,-26.367,-569.336,-33.691,0
1664548748.371,-37.598,-14.160,-484.863,-39.062,0
1664548748.375,-58.105,-16.602,-500.000,-59.570,0
1664548748.379,-66.895,-27.832,-540.039,-62.988,0
1664548748.383,-65.918,-28.809,-512.207,-71.289,0
1664548748.400,-55.664,-30.273,-502.930,-66.406,0
1664548748.404,-57.129,-32.715,-537.109,-57.617,0
1664548748.408,-66.895,-29.297,-520.996,-52.734,0
1664548748.412,-60.547,-34.668,-490.234,-50.781,0
1664548748.416,-49.805,-36.621,-481.934,-54.688,0
1664548748.420,-51.270,-30.762,-476.074,-60.547,0
1664548748.424,-63.477,-34.668,-528.809,-57.617,0
1664548748.427,-77.148,-35.645,-501.953,-57.129,0
1664548748.431,-75.684,-28.320,-425.293,-75.195,0
1664548748.435,-51.758,-28.320,-529.785,-58.105,0
1664548748.439,-51.270,-25.391,-551.270,-42.480,0
1664548748.443,-68.848,-21.973,-518.066,-53.711,0
1664548748.429,-65.430,-23.438,-561.523,-62.988,0
1664548748.433,-58.105,-27.832,-616.699,-60.547,0
1664548748.437,-58.594,-27.344,-679.688,-56.641,0
1664548748.441,-69.824,-17.578,-698.730,-63.477,0
1664548748.445,-72.754,-19.043,-723.145,-72.754,0
1664548748.449,-52.246,-24.902,-756.836,-63.477,0
1664548748.453,-51.758,-20.020,-691.406,-59.082,0
1664548748.456,-64.941,-20.508,-641.602,-63.965,0
1664548748.460,-69.336,-25.391,-611.328,-65.918,0
1664548748.464,-55.176,-33.691,-629.883,-62.500,0
1664548748.468,-48.828,-38.574,-657.715,-47.852,0
1664548748.472,-66.895,-23.926,-572.266,-58.594,0
1664548748.475,-64.453,-20.020,-575.195,-65.430,0
1664548748.479,-56.152,-31.738,-627.441,-52.246,0
1664548748.483,-50.293,-35.645,-623.047,-45.410,0
1664548748.487,-49.316,-24.414,-612.305,-49.316,0
1664548748.491,-59.082,-24.902,-663.574,-54.199,0
1664548748.495,-51.270,-37.109,-670.898,-44.922,0
1664548748.499,-38.086,-38.086,-662.598,-41.504,0
1664548748.502,-48.828,-31.738,-650.879,-53.711,0
1664548748.506,-57.129,-26.855,-612.793,-63.965,0
1664548748.510,-41.504,-29.297,-611.816,-47.363,0
1664548748.514,-30.273,-28.320,-553.223,-36.621,0
1664548748.518,-42.480,-26.367,-502.441,-56.152,0
1664548748.534,-53.223,-23.438,-490.723,-56.152,0
1664548748.538,-63.477,-18.555,-490.234,-51.270,0
1664548748.542,-54.199,-19.043,-486.328,-55.664,0
1664548748.546,-43.457,-21.484,-479.492,-58.105,0
1664548748.550,-55.664,-25.879,-484.375,-57.129,0
1664548748.554,-60.059,-30.762,-500.977,-49.316,0
1664548748.558,-47.363,-25.391,-479.980,-47.363,0
1664548748.561,-43.457,-25.879,-470.215,-53.711,0
1664548748.565,-47.852,-33.691,-531.250,-54.688,0
1664548748.569,-53.711,-31.250,-535.156,-47.852,0
1664548748.573,-55.664,-27.832,-492.676,-53.223,0
1664548748.577,-49.316,-26.855,-471.191,-61.035,0
1664548748.581,-49.805,-32.715,-520.996,-61.035,0
1664548748.585,-62.988,-36.621,-558.594,-62.988,0
1664548748.589,-64.453,-32.715,-541.504,-70.312,0
1664548748.593,-49.805,-29.297,-578.613,-65.430,0
1664548748.597,-42.969,-28.809,-623.047,-42.480,0
1664548748.601,-48.828,-31.250,-647.461,-40.527,0
1664548748.605,-58.105,-25.391,-635.742,-62.012,0
1664548748.608,-53.223,-19.531,-639.648,-70.801,0
1664548748.612,-40.527,-33.203,-729.004,-45.898,0
1664548748.616,-32.715,-23.438,-721.680,-27.832,0
1664548748.620,-38.086,-6.836,-623.535,-41.504,0
1664548748.624,-56.641,-25.391,-647.949,-53.711,0
1664548748.625,-66.895,-34.668,-674.805,-68.359,0
1664548748.629,-69.824,-22.461,-648.926,-68.848,0
1664548748.633,-70.312,-17.578,-663.086,-51.270,0
1664548748.637,-56.641,-22.949,-676.270,-32.715,0
1664548748.641,-47.852,-35.645,-693.359,-30.762,0
1664548748.645,-61.523,-45.898,-704.590,-49.805,0
1664548748.649,-79.102,-39.551,-663.086,-65.918,0
1664548748.652,-70.312,-39.062,-687.012,-55.664,0
1664548748.656,-60.059,-46.875,-712.891,-31.738,0
1664548748.660,-70.801,-40.527,-628.418,-43.457,0
1664548748.664,-75.195,-43.945,-625.000,-55.664,0
1664548748.668,-68.359,-48.828,-679.199,-42.969,0
1664548748.670,-56.152,-40.039,-682.129,-28.809,0
1664548748.674,-62.012,-36.621,-631.836,-28.809,0
1664548748.678,-74.219,-37.598,-624.512,-47.363,0
1664548748.682,-76.172,-45.898,-626.953,-52.734,0
1664548748.686,-69.336,-48.340,-620.605,-42.969,0
1664548748.690,-53.711,-45.898,-630.859,-34.180,0
1664548748.694,-65.430,-43.945,-599.609,-45.898,0
1664548748.697,-70.801,-48.340,-640.137,-38.574,0
1664548748.701,-64.453,-41.504,-615.234,-23.926,0
1664548748.705,-69.336,-29.297,-514.648,-52.246,0
1664548748.709,-69.824,-41.016,-551.758,-62.988,0
1664548748.713,-79.102,-39.062,-559.570,-62.012,0
1664548748.716,-76.172,-37.109,-530.273,-59.570,0
1664548748.720,-59.082,-39.551,-530.273,-50.781,0
1664548748.724,-53.711,-41.016,-550.781,-44.434,0
1664548748.728,-69.824,-42.480,-547.363,-52.734,0
1664548748.732,-82.031,-38.086,-511.230,-64.941,0
1664548748.736,-65.918,-37.598,-505.859,-61.035,0
1664548748.740,-54.199,-38.574,-526.367,-59.570,0
1664548748.743,-65.918,-41.016,-511.230,-45.410,0
1664548748.747,-85.938,-31.738,-433.594,-56.641,0
1664548748.751,-83.496,-27.832,-460.938,-74.219,0
1664548748.755,-60.547,-36.133,-534.668,-54.199,0
1664548748.759,-70.801,-33.203,-525.879,-50.293,0
1664548748.760,-89.844,-22.461,-469.238,-69.824,0
1664548748.764,-79.590,-23.438,-463.867,-77.637,0
1664548748.768,-62.988,-28.320,-484.863,-66.406,0
1664548748.772,-62.500,-24.902,-469.238,-57.129,0
1664548748.776,-76.660,-27.832,-481.934,-58.105,0
1664548748.780,-75.195,-31.250,-496.094,-55.664,0
1664548748.784,-56.152,-36.621,-518.555,-38.574,0
1664548748.787,-53.223,-32.715,-468.262,-31.738,0
1664548748.791,-64.453,-22.461,-352.051,-62.012,0
1664548748.795,-68.359,-30.762,-428.711,-73.242,0
1664548748.799,-67.871,-34.180,-473.633,-66.895,0
1664548748.803,-59.570,-30.762,-462.402,-63.477,0
1664548748.805,-66.406,-25.879,-459.961,-59.570,0
1664548748.809,-77.637,-29.297,-478.516,-53.223,0
1664548748.813,-72.266,-35.645,-489.746,-56.152,0
1664548748.817,-54.688,-30.762,-459.961,-54.688,0
1664548748.821,-51.270,-26.367,-477.539,-48.340,0
1664548748.825,-63.477,-30.762,-513.184,-46.875,0
1664548748.829,-62.988,-28.809,-454.102,-32.715,0
1664548748.832,-54.688,-15.625,-361.816,-38.086,0
1664548748.836,-59.570,-16.602,-322.266,-57.129,0
1664548748.840,-69.336,-22.949,-338.379,-57.617,0
1664548748.844,-69.824,-26.855,-358.887,-57.617,0
1664548748.848,-62.988,-23.926,-256.836,-51.758,0
1664548748.850,-63.965,-22.461,-178.711,-47.363,0
1664548748.854,-64.941,-25.391,-238.281,-51.758,0
1664548748.858,-67.383,-21.973,-254.883,-61.035,0
1664548748.862,-66.406,-20.996,-171.387,-69.824,0
1664548748.866,-40.527,-17.090,-178.711,-54.688,0
1664548748.870,-22.461,-16.113,-326.660,-13.672,0
1664548748.874,-44.434,-17.090,-349.609,-12.207,0
1664548748.877,-80.566,-17.578,-173.340,-58.105,0
1664548748.881,-76.172,-26.367,-162.598,-62.988,0
1664548748.885,-55.664,-33.691,-317.383,-38.574,0
1664548748.889,-69.336,-29.297,-306.152,-38.086,0
1664548748.893,-65.918,-16.113,-162.598,-39.551,0
1664548748.938,-44.922,-23.926,-208.984,-32.227,0
1664548748.942,-55.176,-33.203,-273.926,-44.922,0
1664548748.946,-65.430,-25.391,-270.996,-49.805,0
1664548748.950,-59.570,-22.949,-229.004,-39.551,0
1664548748.954,-37.109,-24.902,-260.742,-20.508,0
1664548748.958,-26.367,-21.484,-344.727,-1.953,0
1664548748.962,-46.387,-14.160,-291.016,-23.438,0
1664548748.965,-66.406,-14.648,-235.840,-59.082,0
1664548748.969,-54.688,-28.809,-287.109,-49.316,0
1664548748.973,-40.039,-35.645,-378.906,-21.973,0
1664548748.977,-54.688,-22.949,-365.234,-23.438,0
1664548748.981,-67.871,-18.066,-367.188,-39.062,0
1664548748.957,-56.641,-17.578,-465.820,-35.645,0
1664548748.961,-52.734,-21.484,-481.934,-31.738,0
1664548748.965,-66.895,-25.879,-441.406,-45.898,0
1664548748.969,-78.613,-21.973,-467.285,-54.199,0
1664548748.973,-85.449,-28.320,-482.422,-50.293,0
1664548748.977,-74.707,-27.832,-486.816,-43.945,0
1664548748.981,-67.383,-20.508,-477.539,-43.945,0
1664548748.984,-77.637,-20.508,-443.359,-59.082,0
1664548748.988,-76.172,-34.668,-520.020,-48.340,0
1664548748.992,-68.359,-34.180,-493.652,-36.133,0
1664548748.996,-69.336,-20.996,-391.602,-60.059,0
1664548749.000,-73.242,-24.414,-471.191,-62.500,0
1664548749.015,-77.637,-24.414,-498.535,-60.059,0
1664548749.019,-69.336,-21.484,-496.582,-53.711,0
1664548749.023,-52.246,-23.438,-508.301,-30.273,0
1664548749.027,-62.988,-28.320,-502.441,-38.086,0
1664548749.031,-80.566,-27.344,-507.324,-55.664,0
1664548749.035,-76.172,-31.738,-526.855,-51.758,0
1664548749.039,-62.988,-34.668,-494.141,-52.246,0
1664548749.042,-54.688,-35.645,-512.695,-47.363,0
1664548749.046,-66.406,-38.086,-522.949,-37.109,0
1664548749.050,-69.824,-27.832,-478.516,-42.480,0
1664548749.054,-50.293,-26.367,-507.812,-31.738,0
1664548749.058,-53.223,-28.809,-517.578,-30.273,0
1664548749.045,-74.707,-30.762,-517.090,-64.453,0
1664548749.049,-74.707,-27.832,-496.582,-73.730,0
1664548749.053,-55.664,-19.043,-510.742,-51.758,0
1664548749.057,-53.711,-19.531,-501.953,-46.875,0
1664548749.061,-66.406,-27.832,-531.250,-48.828,0
1664548749.065,-68.848,-32.715,-534.180,-47.852,0
1664548749.069,-65.430,-32.715,-497.070,-51.270,0
1664548749.072,-56.641,-32.227,-499.512,-48.340,0
1664548749.076,-63.477,-27.832,-489.746,-50.293,0
1664548749.080,-79.102,-25.879,-486.328,-58.594,0
1664548749.084,-70.312,-28.809,-499.512,-60.547,0
1664548749.088,-50.293,-32.715,-517.090,-45.898,0
1664548749.090,-51.758,-26.367,-467.773,-51.270,0
1664548749.094,-65.430,-23.438,-471.191,-64.453,0
1664548749.098,-66.406,-31.250,-500.000,-59.082,0
1664548749.102,-52.246,-35.645,-476.562,-47.852,0
1664548749.106,-49.805,-30.273,-411.133,-53.711,0
1664548749.110,-65.918,-27.344,-466.309,-62.500,0
1664548749.114,-71.289,-26.855,-501.465,-62.012,0
1664548749.117,-53.223,-30.273,-474.121,-43.945,0
1664548749.121,-54.199,-26.855,-397.949,-43.457,0
1664548749.125,-69.336,-28.809,-426.758,-61.035,0
1664548749.129,-72.754,-36.133,-521.484,-59.082,0
1664548749.133,-71.289,-27.832,-498.535,-67.383,0
1664548749.150,-56.641,-19.531,-438.965,-63.965,0
1664548749.154,-42.969,-34.180,-463.379,-42.480,0
1664548749.158,-44.922,-44.922,-502.930,-27.344,0
1664548749.162,-53.711,-30.762,-504.395,-34.180,0
1664548749.166,-77.637,-21.484,-498.047,-75.195,0
1664548749.170,-102.051,-27.832,-503.418,-111.328,0
1664548749.174,-123.535,-29.297,-548.828,-113.770,0
1664548749.177,-153.320,-20.996,-501.465,-128.418,0
1664548749.181,-165.039,-13.672,-407.227,-164.551,0
1664548749.185,-151.855,-20.020,-478.516,-171.875,0
1664548749.189,-157.715,-16.113,-462.402,-169.434,0
1664548749.193,-169.922,-7.812,-402.832,-174.316,0
1664548749.180,-158.203,-7.812,-377.930,-166.992,0
1664548749.184,-137.207,-15.137,-381.836,-144.531,0
1664548749.188,-134.766,-21.484,-394.531,-135.742,0
1664548749.192,-140.137,-19.043,-354.980,-141.602,0
1664548749.196,-124.023,-20.996,-337.891,-133.301,0
1664548749.200,-101.074,-27.344,-356.934,-115.723,0
1664548749.204,-96.191,-25.391,-282.715,-113.770,0
1664548749.207,-110.840,-21.484,-114.258,-117.676,0
1664548749.211,-112.793,-21.973,-20.020,-111.328,0
1664548749.215,-84.961,-25.879,-45.410,-89.355,0
1664548749.219,-70.801,-26.367,-132.812,-61.523,0
1664548749.223,-93.262,-19.043,-3.418,-78.613,0
1664548749.224,-96.191,-20.996,90.820,-98.145,0
1664548749.228,-76.172,-24.414,9.277,-93.262,0
1664548749.232,-62.988,-17.578,-12.695,-86.914,0
1664548749.236,-76.660,-12.207,10.254,-85.449,0
1664548749.240,-91.309,-19.043,4.883,-88.379,0
1664548749.244,-76.660,-28.320,-116.211,-71.777,0
1664548749.248,-65.430,-27.832,-117.188,-68.359,0
1664548749.251,-74.219,-23.926,14.160,-90.820,0
1664548749.255,-77.148,-24.414,-37.598,-89.355,0
1664548749.259,-63.477,-26.855,-174.316,-63.965,0
1664548749.263,-51.758,-24.902,-142.578,-59.082,0
1664548749.267,-57.129,-22.461,-41.016,-75.195,0
1664548749.285,-67.383,-21.973,-97.656,-79.102,0
1664548749.289,-67.871,-23.926,-151.855,-80.078,0
1664548749.293,-55.176,-22.461,-189.941,-70.312,0
1664548749.297,-50.293,-19.531,-217.773,-66.895,0
1664548749.301,-62.988,-26.855,-249.023,-70.801,0
1664548749.305,-72.754,-34.668,-306.641,-69.824,0
1664548749.309,-69.336,-28.320,-284.668,-71.289,0
1664548749.312,-60.547,-27.344,-218.750,-71.777,0
1664548749.316,-62.012,-32.715,-291.016,-65.430,0
1664548749.320,-70.312,-33.203,-367.676,-53.223,0
1664548749.324,-63.965,-27.832,-322.266,-59.082,0
1664548749.328,-55.176,-22.461,-283.691,-72.266,0
1664548749.330,-56.152,-25.879,-338.867,-83.008,0
1664548749.334,-67.383,-30.273,-395.508,-90.820,0
1664548749.338,-66.895,-22.461,-333.008,-83.984,0
1664548749.342,-44.922,-16.602,-368.652,-66.895,0
1664548749.346,-46.387,-20.508,-437.988,-59.570,0
1664548749.350,-59.082,-18.066,-434.082,-64.941,0
1664548749.354,-63.965,-13.184,-420.898,-73.242,0
1664548749.357,-60.547,-13.184,-392.578,-74.707,0
1664548749.361,-38.574,-22.461,-488.281,-52.734,0
1664548749.365,-47.852,-25.879,-487.793,-41.992,0
1664548749.369,-77.148,-20.020,-346.680,-67.383,0
1664548749.373,-71.289,-27.344,-410.156,-74.219,0
1664548749.375,-61.523,-28.809,-457.031,-63.965,0
1664548749.379,-78.125,-28.320,-431.152,-68.359,0
1664548749.383,-94.727,-28.809,-434.570,-82.520,0
1664548749.387,-82.031,-28.809,-458.008,-77.148,0
1664548749.391,-62.988,-30.273,-460.449,-68.359,0
1664548749.395,-62.500,-33.203,-453.125,-68.848,0
1664548749.399,-74.219,-35.156,-440.918,-72.754,0
1664548749.402,-75.195,-31.250,-472.168,-68.848,0
1664548749.406,-61.523,-28.320,-474.609,-52.246,0
1664548749.410,-65.918,-25.391,-365.723,-56.641,0
1664548749.414,-76.660,-32.227,-386.230,-70.801,0
1664548749.418,-74.707,-42.969,-489.746,-74.219,0
1664548749.420,-59.082,-41.504,-479.980,-65.918,0
1664548749.424,-48.340,-40.039,-416.504,-64.941,0
1664548749.428,-64.453,-39.551,-434.082,-71.777,0
1664548749.432,-81.055,-41.016,-477.051,-72.266,0
1664548749.436,-68.848,-38.086,-466.797,-66.895,0
1664548749.440,-58.594,-34.668,-473.633,-57.129,0
1664548749.444,-69.336,-37.109,-453.125,-66.895,0
1664548749.447,-70.312,-41.504,-502.441,-60.059,0
1664548749.451,-66.895,-37.598,-492.188,-44.434,0
1664548749.455,-58.594,-26.855,-409.180,-52.246,0
1664548749.459,-59.570,-28.809,-429.199,-59.082,0
