timestamps,TP9,AF7,AF8,TP10
1664462252.281,0.000,-31.250,74.219,0.488,0
1664462252.285,-27.832,-33.203,78.613,-8.789,0
1664462252.301,-41.992,-36.621,76.172,-10.742,0
1664462252.305,-22.461,-38.086,71.289,-8.301,0
1664462252.309,0.488,-41.504,75.195,2.930,0
1664462252.313,-26.367,-43.945,81.543,-2.441,0
1664462252.317,-46.875,-41.992,75.684,-19.043,0
1664462252.321,-34.180,-35.156,72.266,-15.625,0
1664462252.325,-4.883,-29.785,81.055,6.836,0
1664462252.328,-17.090,-32.715,78.613,-0.488,0
1664462252.332,-51.270,-39.062,68.359,-10.254,0
1664462252.336,-43.945,-36.621,72.754,-8.301,0
1664462252.340,-13.672,-36.133,64.941,-6.836,0
1664462252.344,-13.184,-36.621,61.523,-7.812,0
1664462252.331,-42.480,-37.109,61.035,-19.531,0
1664462252.335,-40.039,-37.598,71.777,-23.438,0
1664462252.339,-3.906,-31.250,78.613,-10.254,0
1664462252.343,26.855,-23.438,61.035,16.113,0
1664462252.347,0.977,-25.391,67.871,14.648,0
1664462252.351,-30.762,-33.203,83.496,-7.324,0
1664462252.355,-32.715,-40.527,82.031,-19.043,0
1664462252.358,-20.508,-38.574,77.637,-13.672,0
1664462252.362,-49.316,-46.387,80.078,-25.879,0
1664462252.366,-71.777,-57.129,80.078,-39.551,0
1664462252.370,-62.012,-53.711,68.848,-33.691,0
1664462252.374,-29.297,-49.805,68.848,-10.742,0
1664462252.377,-40.527,-51.270,96.680,-13.672,0
1664462252.381,-67.871,-52.246,111.816,-29.785,0
1664462252.385,-62.500,-44.922,110.352,-13.184,0
1664462252.389,-38.574,-45.410,107.422,3.906,0
1664462252.393,-36.133,-57.617,112.793,1.465,0
1664462252.397,-61.523,-62.988,99.609,-5.371,0
1664462252.401,-63.965,-60.059,83.008,-17.090,0
1664462252.404,-43.945,-57.129,80.078,-7.812,0
1664462252.408,-26.855,-53.711,85.938,-7.324,0
1664462252.412,-45.898,-47.363,96.191,-23.926,0
1664462252.416,-53.223,-43.457,98.633,-8.789,0
1664462252.420,-34.668,-39.062,98.145,5.371,0
1664462252.421,-1.465,-36.621,94.727,12.207,0
1664462252.425,-14.648,-45.898,94.727,-0.488,0
1664462252.429,-30.273,-43.457,97.168,-4.395,0
1664462252.433,-18.066,-35.645,96.680,9.277,0
1664462252.437,6.836,-31.738,92.285,24.414,0
1664462252.441,-5.371,-32.227,95.215,26.367,0
1664462252.445,-39.062,-34.668,84.473,20.996,0
1664462252.448,-44.434,-32.227,74.219,25.391,0
1664462252.452,-6.836,-32.715,90.332,21.484,0
1664462252.456,11.719,-32.227,95.215,22.461,0
1664462252.460,-29.785,-37.598,86.426,3.906,0
1664462252.464,-29.297,-34.180,93.750,3.906,0
1664462252.465,1.465,-26.367,104.004,25.879,0
1664462252.469,13.184,-29.297,89.844,32.227,0
1664462252.473,-12.207,-27.832,81.543,16.602,0
1664462252.477,-24.902,-29.785,84.473,0.488,0
