timestamps,TP9,AF7,AF8,TP10
1668620273.078,-974.609,647.949,-93.262,-423.828
1668620273.082,544.434,637.695,324.707,-902.344
1668620273.086,-973.145,-921.875,-684.570,257.812
1668620273.089,-1000.000,-1000.000,-941.406,-1000.000
1668620273.093,235.352,-44.922,-421.387,-906.250
1668620273.097,-936.523,-896.484,361.328,706.055
1668620273.101,-400.391,-219.238,-214.355,497.070
1668620273.105,-1000.000,-1000.000,-1000.000,-1000.000
1668620273.107,-210.449,-223.633,-738.770,-1000.000
1668620273.111,-831.543,-832.031,243.164,76.660
1668620273.115,130.371,215.332,25.391,944.336
1668620273.119,-1000.000,-1000.000,-1000.000,-541.016
1668620273.123,-195.312,-454.590,-889.648,-1000.000
1668620273.127,-840.332,-940.918,97.656,-203.125
1668620273.131,239.258,302.246,279.297,-856.445
1668620273.134,-1000.000,-1000.000,-837.402,128.418
1668620273.138,-777.832,-1000.000,-975.586,-1000.000
1668620273.142,860.352,430.176,-181.152,-532.227
1668620273.146,657.715,783.203,355.957,-938.477
1668620273.150,-915.527,-786.621,-573.730,261.230
1668620273.152,-1000.000,-1000.000,-1000.000,-1000.000
1668620273.156,112.305,-121.094,-533.203,-1000.000
1668620273.160,-848.633,-864.746,390.137,527.344
1668620273.164,-209.961,-70.312,-137.207,600.098
1668620273.168,-1000.000,-1000.000,-1000.000,-948.730
1668620273.172,-219.238,-277.832,-750.488,-1000.000
1668620273.176,-833.008,-849.609,278.320,-104.980
1668620273.179,244.141,246.582,101.562,-934.082
1668620273.183,-1000.000,-1000.000,-1000.000,-269.531
1668620273.187,-457.031,-722.168,-896.973,-1000.000
1668620273.191,-880.371,914.062,127.930,-212.891
1668620273.195,352.051,433.594,243.652,-841.309
1668620273.197,-1000.000,-1000.000,-882.324,246.582
1668620273.201,-907.715,-1000.000,-955.566,-1000.000
1668620273.205,674.316,264.648,-259.766,-637.207
1668620273.209,808.594,927.246,373.535,-981.445
1668620273.213,-752.441,-591.797,-433.594,262.695
1668620273.217,-1000.000,-1000.000,-1000.000,-1000.000
1668620273.221,-50.293,-185.547,-595.703,-1000.000
1668620273.224,-841.309,-855.957,350.586,333.008
1668620273.228,-74.707,57.617,-67.871,703.125
1668620273.232,-1000.000,-1000.000,-1000.000,-881.836
1668620273.236,-227.051,-363.281,-841.797,-1000.000
1668620273.240,-829.102,-871.582,123.047,-189.941
1668620273.257,245.117,250.488,104.492,-889.160
1668620273.261,-1000.000,-1000.000,-986.816,-83.008
